"text";"url";"categories"
"LOW←TECH MAGAZINE"; "http://web.archive.org/web/20230321110835/https://solar.lowtechmagazine.com/"; ""
"anarchaserver"; "http://web.archive.org/web/20230321110835/https://anarchaserver.org/"; ""
"anarchaserver"; "http://web.archive.org/web/20230321110835/https://anarchaserver.org/?utm_source=substack&utm_medium=email"; ""
"L’éco-design : design de l’environnement ou design du milieu ?"; "http://web.archive.org/web/20230321110835/https://www.cairn.info/revue-sciences-du-design-2015-2-page-31.htm"; ""
"La guerre de l’attention: comment ne pas la perdre"; "http://web.archive.org/web/20230321110835/https://www.lechappee.org/collections/pour-en-finir-avec/la-guerre-de-attention"; ""
"Le numérique doit prendre sa place dans le débat public"; "http://web.archive.org/web/20230321110835/https://www.youtube.com/watch?v=LGEJ70bjQLM"; ""
"Le numérique doit prendre sa place dans le débat public"; "http://web.archive.org/web/20230321110835/https://youtu.be/LGEJ70bjQLM"; ""
"Le portail d’information sur l’accessibilité"; "http://web.archive.org/web/20230321110835/https://access-i.be/a-propos"; ""
"Le Sabot - Art et littérature de Sabotage"; "http://web.archive.org/web/20230321110835/https://le-sabot.fr/"; ""
"Les « néopronoms » - quand la sémantique s’ouvre à l’expression d’une identité queer plurielle"; "http://web.archive.org/web/20230321110835/https://usbeketrica.com/fr/article/les-neopronoms-quand-on-passe-de-la-performance-sociale-a-l-expression-de-son-identite-intime"; ""
"Les communs"; "http://web.archive.org/web/20230321110835/https://lescommuns.org/"; ""
"Les Communs d’Abord"; "http://web.archive.org/web/20230321110835/https://www.les-communs-dabord.org/"; ""
"Les dark patterns ou l’art de tromper l’utilisateur"; "http://web.archive.org/web/20230321110835/https://la-rem.eu/2021/12/les-dark-patterns-ou-lart-de-tromper-lutilisateur/"; ""
"Les sous-communs, planification fugitive et étude noire"; "http://web.archive.org/web/20230321110835/https://brook.pm/harney-moten-sous-communs.html"; ""
"Patterns"; "http://web.archive.org/web/20230321110835/https://www.w3.org/WAI/ARIA/apg/patterns/"; ""
"Pour une écologie de l’attention"; "http://web.archive.org/web/20230321110835/https://www.seuil.com/ouvrage/pour-une-ecologie-de-l-attention-yves-citton/9782021181425"; ""
"Libre comme l’air, libre comme l’eau, libre comme la connaissance"; "http://web.archive.org/web/20230321110835/https://www.cairn.info/libres-enfants-du-savoir-numerique--9782841620432-page-31.htm"; ""
"Liquider l’utilisateur"; "http://web.archive.org/web/20230321110835/https://revue-teque.fr/catalogue/teque-1"; ""
"Accessibility resources, guides, communities, and more"; "http://web.archive.org/web/20230321110835/https://getstark.co/library"; ""
"An interview with Donna Haraway"; "http://web.archive.org/web/20230321110835/https://lareviewofbooks.org/article/making-kin-an-interview-with-donna-haraway/"; ""
"Minimal Internet Experience"; "http://web.archive.org/web/20230321110835/https://minimal.aupya.org/"; ""
"Navigation au clavier versus navigation avec un lecteur d’écran"; "http://web.archive.org/web/20230321110835/https://access42.net/navigation-au-clavier-versus-navigation-avec-un-lecteur-decran"; ""
"One and many mirrors: perspectives on graphic design education"; "http://web.archive.org/web/20230321110835/https://occasionalpapers.org/product/one-and-many-mirrors/"; ""
"Open design. Fabrication numérique et mouvement maker"; "http://web.archive.org/web/20230321110835/https://editions-b42.com/produit/open-design/"; ""
"Origens Media Lab"; "http://web.archive.org/web/20230321110835/https://origensmedialab.org/"; ""
"Panser le design graphique : courtes fictions dessinant une piste d’atterrissage"; "http://web.archive.org/web/20230321110835/http://depot.esad-gv.fr/pdf/panser_le_design_graphique_SDD10_2019.pdf"; ""
"Pas d’internet féministe sans serveurs féministes"; "http://web.archive.org/web/20230321110835/https://pantherepremiere.org/texte/pas-dinternet-feministe-sans-serveurs-feministes/"; ""
"postcapitalist.design"; "http://web.archive.org/web/20230321110835/https://postcapitalist.design/"; ""
"Pour une ethnographie des réseaux sans fil communautaires"; "http://web.archive.org/web/20230321110835/https://www.revue-urbanites.fr/pour-une-ethnographie-des-reseaux-sans-fil-communautaires-implementer-des-technologies-decentralisees-pour-agir-contre-la-crise-a-detroit/"; ""
"Que veut dire non-binarité ou non-binaire ?"; "http://web.archive.org/web/20230321110835/https://tetu.com/2021/07/14/journee-internationale-non-binarite-que-veut-dire-bases-definition-personne-non-binaire/"; ""
"Randoma11y"; "http://web.archive.org/web/20230321110835/https://randoma11y.com/"; ""
"Référentiel général d’amélioration de l’accessibilité – RGAA Version 4.1"; "http://web.archive.org/web/20230321110835/https://www.numerique.gouv.fr/publications/rgaa-accessibilite/"; ""
"Sagesse des lianes: Cosmopoétique du refuge, 1"; "http://web.archive.org/web/20230321110835/https://www.post-editions.fr/SAGESSE-DES-LIANES.html"; ""
"Technologies partout, démocratie nulle part: plaidoyer pour que les choix technologiques deviennent l’affaire de tous"; "http://web.archive.org/web/20230321110835/https://boutique.fypeditions.com/products/echnologies-partout-democratie-nulle-part-plaidoyer-pour-que-les-choix-technologiques-deviennent-l-affaire-de-tous"; ""
"The Commotion Wireless Project"; "http://web.archive.org/web/20230321110835/https://www.commotionwireless.net/"; ""
"The User Condition"; "http://web.archive.org/web/20230321110835/https://theusercondition.computer/"; ""
"Théorie du nudge"; "http://web.archive.org/web/20230321110835/https://fr.wikipedia.org/w/index.php?title=Th%C3%A9orie_du_nudge&oldid=169316139"; ""
"Typo-postbinaire"; "http://web.archive.org/web/20230321110835/http://typo-postbinaire.net/"; ""
"Un syndicat logiciel, pour qui ?"; "http://web.archive.org/web/20230321110835/https://thx.zoethical.org/pub/presence-solidaire"; ""
"Une écologie décoloniale. Penser l’écologie depuis le monde caribéen"; "http://web.archive.org/web/20230321110835/https://www.seuil.com/ouvrage/une-ecologie-decoloniale-malcom-ferdinand/9782021388497"; ""
"Women in Type. Rediscovering women’s contribution to type history."; "http://web.archive.org/web/20230321110835/https://www.women-in-type.com/"; ""
"UX & genre, guide pratique pour une communication inclusive"; "http://web.archive.org/web/20230321110835/https://uxetgenre.ch/"; ""
"Video Realistic Avatars"; "http://web.archive.org/web/20230321110835/https://www.synthesia.io/features/avatars"; ""
"Un nouveau sens"; "http://web.archive.org/web/20230321110835/https://www.cnap.fr/%C2%AB-accelerer-le-futur-post-travail-post-capitalisme-%C2%BB-de-nick-srnicek-alex-williams"; ""
"Votre attention, s’il vous plaît ! Quels leviers face à l’économie de l’attention ?"; "http://web.archive.org/web/20230321110835/https://cnnumerique.fr/nos-travaux/votre-attention-sil-vous-plait-quels-leviers-face-leconomie-de-lattention"; ""
"Ecologies du smartphone"; "http://web.archive.org/web/20230321110835/https://www.editionsbdl.com/produit/ecologies-du-smartphone/"; ""
"Abondance et liberté"; "http://web.archive.org/web/20230321110835/https://www.editionsladecouverte.fr/abondance_et_liberte-9782348046780"; ""
"Assembl"; "http://web.archive.org/web/20230321110835/https://www.bluenove.com/offres/assembl/"; ""
"Beatriz da Costa"; "http://web.archive.org/web/20230321110835/https://nideffer.net/shaniweb/pigeonblog.php"; ""
"Data Colonialism: Rethinking Big Data’s Relation to the Contemporary Subject"; "http://web.archive.org/web/20230321110835/https://doi.org/10.1177/1527476418796632"; ""
"De l’enfermement au tracing numérique, évolution de la privation de liberté"; "http://web.archive.org/web/20230321110835/https://www.pointculture.be/magazine/articles/podcast/punch-saison-6-episode-4-christophe-mincke/"; ""
"EcoInfo – Pour une informatique éco-responsable"; "http://web.archive.org/web/20230321110835/https://ecoinfo.cnrs.fr/"; ""
"Explore Popular Debates, Discussions and Critical Thinking…"; "http://web.archive.org/web/20230321110835/https://www.kialo.com/"; ""
"Génération Lumière – Pour une citoyenneté responsable et agissante"; "http://web.archive.org/web/20230321110835/https://generationlumiere.fr/"; ""
"Graphisme x intersections. Voix intersectionnelles, féministes, décoloniales dans le champ du design graphique"; "http://web.archive.org/web/20230321110835/https://www.lorainefurter.net/en/home/_side/_published/section-loraine_REVUE_LSD_OABC.pdf"; ""
"Le code fait loi - De la liberté dans le cyberespace"; "http://web.archive.org/web/20230321110835/https://ateliertemeraireshop.bigcartel.com/product/1"; ""
"Le design au service de la démocratie"; "http://web.archive.org/web/20230321110835/https://thomas-thibault.fr/le-design-au-service-de-la-democratie/"; ""
"Pænser ensemble"; "http://web.archive.org/web/20230321110835/https://thx.zoethical.org/pub/presence-solidaire"; ""
"A pluriverse of local worlds: a review of Computing within Limits related terminology and practices"; "http://web.archive.org/web/20230321110835/https://computingwithinlimits.org/2021/papers/limits21-devalk.pdf"; ""
"Cargo cult technologique sur le plateau de Saclay. Un écoquartier zombie au service de la démesure."; "http://web.archive.org/web/20230321110835/http://www.revue-fig.fr/numero/7/techno7/"; ""
"La fresque du renoncement"; "http://web.archive.org/web/20230321110835/https://lafresquedurenoncement.xyz/"; ""
"Licoornes"; "http://web.archive.org/web/20230321110835/https://www.licoornes.coop/"; ""
"Master of Science: Stratégie & Design pour l’Anthropocène"; "http://web.archive.org/web/20230321110835/https://strategy-design-anthropocene.org/fr/msc-strategy-and-design-for-the-anthropocene"; ""
"On se lève et on se casse"; "http://web.archive.org/web/20230321110835/https://onseleveetonsecasse.fr/"; ""
"Permacomputing"; "http://web.archive.org/web/20230321110835/http://viznut.fi/texts-en/permacomputing.html"; ""
"Pragmatisme et transaction. La perspective de John Dewey"; "http://web.archive.org/web/20230321110835/https://www.cairn.info/revue-pensee-plurielle-2013-2-page-73.htm"; ""
"Quelle(s) technologie(s) pour présever le vivant ? Regards queers & cyberféministes"; "http://web.archive.org/web/20230321110835/https://mouton-numerique.org/perspectives-queers-et-cyberfeminises-sur-les-technologies/"; ""
"Timothée Parrique"; "http://web.archive.org/web/20230321110835/https://timotheeparrique.com/"; ""
